"識別碼","來源媒體","新聞分類","發布日期","新聞連結","folder","新聞標題","Source"
"news_ac557077a17734809f4346781b58da3d","自由時報","國際新聞",2024-08-18 21:30:00,"https://news.ltn.com.tw/news/world/paper/1662507","國際新聞","奧運熱議性別話題 川普造勢場又續炒","NDC"
"news_daaf37199b8bd4f3f5186c5942c35ea7","自由時報","地方新聞",2024-09-25 03:03:30,"https://news.ltn.com.tw/news/Taichung/breakingnews/4810301","地方新聞","輕熟女稱「草蜢」蔡一傑來借錢 警苦勸阻：人家還遇到川普咧","NDC"
"news_1dd1e65273dcd04aed4ea1c5cead564f","自由時報","政治新聞",2024-11-06 10:57:25,"https://news.ltn.com.tw/news/politics/breakingnews/4854700","政治新聞","川普勝選  中研院學者林正義：提高台灣國防預算無可迴避","NDC"
"news_2adf0f426b50b15134d9e7622888ce7f","自由時報","社會新聞",2024-08-15 14:54:36,"https://news.ltn.com.tw/news/society/breakingnews/4770411","社會新聞","角頭「鴨頭」曾與仇家長槍互轟 還捲入大毒梟林孝道運毒案","NDC"
"news_014a88335e34ed1817ce786eb0f235f3","自由時報","財經新聞",2024-10-29 21:30:00,"https://ec.ltn.com.tw/article/paper/1674474","財經新聞","財經青紅燈》台灣從來不偷不搶","NDC"
"news_c06cb0787b3c9394c25848c0db36f653","自由時報","財經新聞",2024-08-30 05:49:54,"https://ec.ltn.com.tw/article/breakingnews/4784913","財經新聞","川普出書: 札克伯格若再密謀反對 將關入監獄度餘生","NDC"
"news_a21f078677b1b4f66aac66e649f3ce37","自由時報","財經新聞",2024-10-24 04:20:32,"https://ec.ltn.com.tw/article/breakingnews/4840622","財經新聞","日圓破153後反彈！新台幣量縮走揚 暫收32.05元","NDC"
"news_0421e7c3ae47117e9fac6ba1139e9245","自由時報","財經新聞",2024-09-23 01:37:43,"https://ec.ltn.com.tw/article/breakingnews/4807986","財經新聞","高通慧眼示好貨？業界人士：不要只看股價、英特爾實際價值遠高於市值","NDC"
"news_b94656abb2064bb999781cce6eb3bbfc","自由時報","財經新聞",2024-11-06 09:03:40,"https://ec.ltn.com.tw/article/breakingnews/4854617","財經新聞","晶圓雙雄神祕買盤救援！外資大砍2.5萬張 股價走揚","NDC"
"news_45285177cdfbb55f20260f13158f13cf","自由時報","財經新聞",2024-11-05 21:30:00,"https://ec.ltn.com.tw/article/paper/1675644","財經新聞","財經青紅燈》美國大選與台灣經濟","NDC"
"news_3f0c503f17ffe26468196e0209d6aa4e","自由時報","體育新聞",2024-08-02 06:22:06,"https://sports.ltn.com.tw/news/breakingnews/4756756","文化體育新聞","奧運》爭議女拳手的下一戰對手很「匈」!「若贏了男人的她，是更大勝利」","NDC"
"d834f7c5-3eb4-4060-885a-b1229d75b2fc","經濟日報","A12版 台股熱點",2024-09-09,"https://udndata.com/ndapp/Story?no=587&page=30&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-09-09&news_id=10416596","財經新聞","鮑爾是能力強還是運氣好？","UDN"
"aebf7377-14cb-4ef8-af01-bdbbbf12b1b0","經濟日報","S14版 台股王外幣",2024-08-11,"https://udndata.com/ndapp/Story?no=758&page=38&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-08-11&news_id=10402540","財經新聞","美元指數 短線弱勢格局 - 反映市場對Fed降息預期","UDN"
"ff4930ca-5d08-4640-8fab-fc5e956dff74","經濟日報","B2版 基金",2024-11-07,"https://udndata.com/ndapp/Story?no=37&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444598","財經新聞","成長型基金 長線勝率高","UDN"
"00b9ef96-fae7-4e4f-8ca6-0d147501481e","經濟日報","A6版 國際",2024-10-23,"https://udndata.com/ndapp/Story?no=321&page=17&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-10-23&news_id=10437325","國際新聞","墨拚在地生產 祭租稅優惠 - 招手外企設廠","UDN"
"99425201-86a1-4eb6-b0c6-309fc93df664","經濟日報","A14版 台股熱點",2024-11-04,"https://udndata.com/ndapp/Story?no=142&page=8&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-04&news_id=10443053","財經新聞","廣達得力 買盤進駐","UDN"
"f1d20ee4-8ba2-4155-af95-d985a28c7273","經濟日報","A2版 話題",2024-09-12,"https://udndata.com/ndapp/Story?no=565&page=29&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-09-12&news_id=10418035","政治新聞","攻勢猛烈 逼川普採取守勢","UDN"
